order_id,customer_id,order_date,order_status,product_ordered,quantity_ordered,product_cost,order_total,shipping_address
ORD1,CUST36,12/8/2023,Shipped,GlowGlow Hydrating Face Mask,9,8,93.6,Cleveland
ORD2,CUST3,2/5/2024,Shipped,EcoBloom Sustainable Plant Stand,22,92,2631.2,Long Beach
ORD3,CUST86,15-09-2022,Delivered,GlowGoddess Highlighter Palette,9,77,900.9,Detroit
ORD4,CUST56,8/11/2023,Delivered,UrbanVibe Industrial Floor Lamp,18,52,1216.8,Boynton Beach
ORD5,CUST7,1/7/2024,Shipped,GlowGlow Exfoliating Body Scrub,22,86,2459.6,Apache Junction
ORD6,CUST28,15-07-2024,Pending,TechTrend Smart Watch,5,86,559,Raleigh
ORD7,CUST55,6/8/2021,Pending,TrendTide Graphic Tee,11,113,1615.9,Dallas
ORD8,CUST9,15-09-2021,Shipped,GlowGuru Facial Cleansing Brush,22,100,2860,Rochester
ORD9,CUST61,25-11-2020,Shipped,PowerPulse Wireless Charging Pad,8,26,270.4,Lexington
ORD10,CUST98,2/4/2020,Delivered,SmartSync Smart Home Hub,10,83,1079,London
ORD11,CUST69,24-05-2023,Cancelled,PowerPulse Fitness Tracker,6,102,795.6,Garden Grove
ORD12,CUST31,22-09-2020,Shipped,ChicCharm Midi Skirt,16,62,1289.6,Tampa
ORD13,CUST94,28-03-2021,Delivered,CozyCurl Knit Throw Pillow,25,52,1690,Saint Louis
ORD14,CUST15,3/5/2022,Delivered,GlowGlow Nourishing Hair Mask,7,73,664.3,New Hyde Park
ORD15,CUST79,27-12-2021,Delivered,EcoElegance Bamboo Cutting Board,3,33,128.7,Kansas City
ORD16,CUST18,14-06-2021,Delivered,SportPro Agility Ladder,18,112,2620.8,Washington
ORD17,CUST77,19-11-2024,Pending,PowerPulse Portable Power Bank,23,111,3318.9,Corpus Christi
ORD18,CUST64,25-10-2021,Cancelled,ModernMingle Abstract Canvas Art,1,76,98.8,Salt Lake City
ORD19,CUST96,26-11-2021,Shipped,GlowGlow Illuminating Body Oil,18,117,2737.8,Tacoma
ORD20,CUST44,2/10/2023,Pending,ElectroGlow Tech Headphones,16,25,520,Baltimore
ORD21,CUST75,5/3/2021,Pending,ModernMingle Geometric Throw Pillow,21,55,1501.5,Sacramento
ORD22,CUST59,30-11-2020,Shipped,SportSprint Speed Jump Rope,12,90,1404,San Francisco
ORD23,CUST63,23-07-2020,Delivered,TechTrend Bluetooth Speaker,8,8,83.2,Charlotte
ORD24,CUST42,12/3/2024,Delivered,SmartSync Smart Thermostat,3,46,179.4,Sacramento
ORD25,CUST62,21-09-2020,Delivered,TechTrend Wireless Earbuds,10,42,546,Wilkes Barre
ORD26,CUST70,23-09-2023,Delivered,RusticCharm Wooden Wall Art,2,71,184.6,Nashville
ORD27,CUST87,11/9/2023,Delivered,CozyCurl Faux Fur Throw Blanket,16,113,2350.4,Laurel
ORD28,CUST88,10/4/2021,Cancelled,PowerPulse Portable Charger,6,44,343.2,Las Vegas
ORD29,CUST21,19-04-2021,Delivered,SmartSync Smart Doorbell,2,53,137.8,Wichita
ORD30,CUST73,28-11-2023,Shipped,CozyChic Knit Sweater,25,45,1462.5,Everett
ORD31,CUST26,11/1/2024,Delivered,ChicChill Cashmere Scarf,10,67,871,Boston
ORD32,CUST23,5/9/2022,Delivered,FitFlex Yoga Mat,14,114,2074.8,Baltimore
ORD33,CUST18,3/4/2022,Cancelled,CozyChic Knit Sweater,5,52,338,Washington
ORD34,CUST82,1/3/2024,Pending,GlowGuru Facial Cleansing Brush,10,116,1508,Richmond
ORD35,CUST100,5/6/2024,Delivered,SportStrike Boxing Gloves,1,58,75.4,Brooklyn
ORD36,CUST27,2/8/2021,Cancelled,GlowGlam Radiant Face Serum,19,116,2865.2,Saint Louis
ORD37,CUST32,29-01-2020,Shipped,SportSprint Speed Jump Rope,21,66,1801.8,San Francisco
ORD38,CUST61,23-06-2020,Delivered,EcoElegance Bamboo Cutting Board,10,61,793,Lexington
ORD39,CUST44,11/8/2020,Pending,ChicChill Cashmere Scarf,15,54,1053,Baltimore
ORD40,CUST67,12/5/2023,Delivered,SmartSync Smart Home Hub,13,33,557.7,Corona
ORD41,CUST9,6/3/2022,Delivered,TrendTide Distressed Jeans,8,110,1144,Rochester
ORD42,CUST99,19-01-2024,Delivered,RusticCharm Wooden Wall Art,21,61,1665.3,Winston Salem
ORD43,CUST87,5/1/2023,Delivered,SmartSync Smart Thermostat,12,52,811.2,Laurel
ORD44,CUST69,1/4/2020,Shipped,GlowGoddess Highlighter Palette,18,46,1076.4,Garden Grove
ORD45,CUST3,4/1/2024,Delivered,PowerPulse Portable Charger,25,94,3055,Long Beach
ORD46,CUST94,18-12-2021,Shipped,ChicCharm Midi Skirt,15,46,897,Saint Louis
ORD47,CUST60,25-01-2020,Pending,SportPro Agility Ladder,16,47,977.6,Alexandria
ORD48,CUST38,20-10-2024,Delivered,RusticRoots Farmhouse Wall Clock,19,53,1309.1,Joliet
ORD49,CUST8,14-05-2020,Pending,UrbanVibe Mid-Century Modern Chair,12,69,1076.4,Amarillo
ORD50,CUST5,11/3/2021,Shipped,TechTrend Bluetooth Speaker,9,110,1287,Springfield
ORD51,CUST77,7/7/2023,Delivered,UrbanEdge Denim Jacket,12,15,234,Corpus Christi
ORD52,CUST30,11/2/2021,Shipped,SmartSync Smart Doorbell,7,41,373.1,Corpus Christi
ORD53,CUST65,28-01-2021,Shipped,EcoEssence Solar Powered Lantern,9,41,479.7,Tampa
ORD54,CUST57,19-07-2023,Shipped,ChicCharm Midi Dress,23,61,1823.9,New Orleans
ORD55,CUST95,11/6/2024,Shipped,ElectroGlow Tech Headphones,8,12,124.8,Cincinnati
ORD56,CUST80,13-11-2020,Delivered,TechTrend Wireless Earbuds,12,12,187.2,Irving
ORD57,CUST2,26-05-2021,Pending,GlowGlow Hydrating Face Mask,10,65,845,Cincinnati
ORD58,CUST45,21-01-2020,Delivered,GlowGlow Lip Plumping Gloss,12,22,343.2,Greenville
ORD59,CUST52,20-02-2020,Cancelled,PowerPulse Wireless Charging Pad,14,26,473.2,Indianapolis
